"filename", "language", "Markdown", "JavaScript", "JSON", "XML", "JavaScript JSX", "CSS", "HTML", "comment", "blank", "total"
"d:\Mentora\mentora\src\index.css", "CSS", 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"d:\Mentora\mentora\src\layouts\WebsiteLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"d:\Mentora\mentora\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"d:\Mentora\mentora\src\pages\Courses.jsx", "JavaScript JSX", 0, 0, 0, 0, 495, 0, 0, 13, 25, 533
"d:\Mentora\mentora\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 6, 28
"d:\Mentora\mentora\src\pages\Live.jsx", "JavaScript JSX", 0, 0, 0, 0, 301, 0, 0, 10, 19, 330
"d:\Mentora\mentora\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 207, 0, 0, 6, 20, 233
"d:\Mentora\mentora\src\pages\NotFound.jsx", "JavaScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 3, 30
"d:\Mentora\mentora\src\pages\Pricing.jsx", "JavaScript JSX", 0, 0, 0, 0, 264, 0, 0, 4, 15, 283
"d:\Mentora\mentora\src\pages\Signup.jsx", "JavaScript JSX", 0, 0, 0, 0, 256, 0, 0, 8, 20, 284
"d:\Mentora\mentora\src\pages\course\Checkout.jsx", "JavaScript JSX", 0, 0, 0, 0, 200, 0, 0, 11, 15, 226
"d:\Mentora\mentora\src\pages\course\Learn.jsx", "JavaScript JSX", 0, 0, 0, 0, 262, 0, 0, 9, 16, 287
"d:\Mentora\mentora\src\pages\live\Register.jsx", "JavaScript JSX", 0, 0, 0, 0, 129, 0, 0, 4, 11, 144
"d:\Mentora\mentora\src\pages\live\Watch.jsx", "JavaScript JSX", 0, 0, 0, 0, 191, 0, 0, 6, 9, 206
"d:\Mentora\mentora\src\pages\mentor\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 294, 0, 0, 7, 15, 316
"d:\Mentora\mentora\src\pages\plan\Subscribe.jsx", "JavaScript JSX", 0, 0, 0, 0, 308, 0, 0, 16, 19, 343
"d:\Mentora\mentora\src\pages\res\About.jsx", "JavaScript JSX", 0, 0, 0, 0, 64, 0, 0, 2, 9, 75
"d:\Mentora\mentora\src\pages\res\Careers.jsx", "JavaScript JSX", 0, 0, 0, 0, 116, 0, 0, 2, 7, 125
"d:\Mentora\mentora\src\pages\res\Contact.jsx", "JavaScript JSX", 0, 0, 0, 0, 172, 0, 0, 4, 13, 189
"d:\Mentora\mentora\src\pages\res\FAQ.jsx", "JavaScript JSX", 0, 0, 0, 0, 101, 0, 0, 2, 8, 111
"d:\Mentora\mentora\src\pages\res\Privacy.jsx", "JavaScript JSX", 0, 0, 0, 0, 155, 0, 0, 2, 9, 166
"d:\Mentora\mentora\src\pages\res\TermsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 141, 0, 0, 2, 10, 153
"d:\Mentora\mentora\src\pages\student\MyCourses.jsx", "JavaScript JSX", 0, 0, 0, 0, 204, 0, 0, 3, 10, 217
"d:\Mentora\mentora\src\pages\student\MyLives.jsx", "JavaScript JSX", 0, 0, 0, 0, 172, 0, 0, 3, 10, 185
"d:\Mentora\mentora\src\pages\student\Profile.jsx", "JavaScript JSX", 0, 0, 0, 0, 210, 0, 0, 5, 10, 225
"d:\Mentora\mentora\src\pages\student\Settings.jsx", "JavaScript JSX", 0, 0, 0, 0, 307, 0, 0, 4, 12, 323
"d:\Mentora\mentora\vite.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 3, 10
"Total", "-", 8, 38, 3666, 10, 6395, 5, 13, 141, 453, 10729
