"filename", "language", "JSON", "JavaScript", "Markdown", "JavaScript JSX", "XML", "CSS", "HTML", "comment", "blank", "total"
"d:\Mentora\mentora\src\pages\mentor\MentorStudentPage.jsx", "JavaScript JSX", 0, 0, 0, 294, 0, 0, 0, 4, 14, 312
"d:\Mentora\mentora\src\pages\mentor\MentorStudentsPage.jsx", "JavaScript JSX", 0, 0, 0, 116, 0, 0, 0, 1, 7, 124
"d:\Mentora\mentora\src\pages\plan\Subscribe.jsx", "JavaScript JSX", 0, 0, 0, 308, 0, 0, 0, 16, 19, 343
"d:\Mentora\mentora\src\pages\res\About.jsx", "JavaScript JSX", 0, 0, 0, 64, 0, 0, 0, 2, 9, 75
"d:\Mentora\mentora\src\pages\res\Careers.jsx", "JavaScript JSX", 0, 0, 0, 116, 0, 0, 0, 2, 7, 125
"d:\Mentora\mentora\src\pages\res\Contact.jsx", "JavaScript JSX", 0, 0, 0, 172, 0, 0, 0, 4, 13, 189
"d:\Mentora\mentora\src\pages\res\FAQ.jsx", "JavaScript JSX", 0, 0, 0, 101, 0, 0, 0, 2, 8, 111
"d:\Mentora\mentora\src\pages\res\Privacy.jsx", "JavaScript JSX", 0, 0, 0, 155, 0, 0, 0, 2, 9, 166
"d:\Mentora\mentora\src\pages\res\TermsPage.jsx", "JavaScript JSX", 0, 0, 0, 141, 0, 0, 0, 2, 10, 153
"d:\Mentora\mentora\src\pages\student\MyCourses.jsx", "JavaScript JSX", 0, 0, 0, 204, 0, 0, 0, 3, 8, 215
"d:\Mentora\mentora\src\pages\student\MyLives.jsx", "JavaScript JSX", 0, 0, 0, 172, 0, 0, 0, 1, 7, 180
"d:\Mentora\mentora\src\pages\student\Profile.jsx", "JavaScript JSX", 0, 0, 0, 210, 0, 0, 0, 1, 7, 218
"d:\Mentora\mentora\src\pages\student\Settings.jsx", "JavaScript JSX", 0, 0, 0, 307, 0, 0, 0, 2, 10, 319
"d:\Mentora\mentora\vite.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 3, 10
"Total", "-", 3666, 38, 9, 9857, 10, 5, 13, 191, 628, 14417
