Date : 2025-05-13 23:47:48
Directory : d:\Mentora\mentora
Total : 60 files,  13598 codes, 191 comments, 628 blanks, all 14417 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| d:\Mentora\mentora\src\pages\mentor\MentorCreateCoursePage.jsx  | JavaScript JSX |        215 |          8 |         17 |        240 |
| d:\Mentora\mentora\src\pages\mentor\MentorCreateSessionPage.jsx | JavaScript JSX |        267 |          9 |         18 |        294 |
| d:\Mentora\mentora\src\pages\mentor\MentorDashboard.jsx         | JavaScript JSX |        289 |          5 |         14 |        308 |
| d:\Mentora\mentora\src\pages\mentor\MentorEarningsPage.jsx      | JavaScript JSX |        207 |          5 |         12 |        224 |
| d:\Mentora\mentora\src\pages\mentor\MentorEditCoursePage.jsx    | JavaScript JSX |        280 |         11 |         21 |        312 |
| d:\Mentora\mentora\src\pages\mentor\MentorEditSessionPage.jsx   | JavaScript JSX |        349 |         13 |         23 |        385 |
| d:\Mentora\mentora\src\pages\mentor\MentorMessagesPage.jsx      | JavaScript JSX |        218 |          4 |          9 |        231 |
| d:\Mentora\mentora\src\pages\mentor\MentorSessionPage.jsx       | JavaScript JSX |        222 |          4 |         13 |        239 |
| d:\Mentora\mentora\src\pages\mentor\MentorSessionsPage.jsx      | JavaScript JSX |        303 |          4 |         15 |        322 |
| d:\Mentora\mentora\src\pages\mentor\MentorStudentPage.jsx       | JavaScript JSX |        294 |          4 |         14 |        312 |
| d:\Mentora\mentora\src\pages\mentor\MentorStudentsPage.jsx      | JavaScript JSX |        116 |          1 |          7 |        124 |
| d:\Mentora\mentora\src\pages\plan\Subscribe.jsx                 | JavaScript JSX |        308 |         16 |         19 |        343 |
| d:\Mentora\mentora\src\pages\res\About.jsx                      | JavaScript JSX |         64 |          2 |          9 |         75 |
| d:\Mentora\mentora\src\pages\res\Careers.jsx                    | JavaScript JSX |        116 |          2 |          7 |        125 |
| d:\Mentora\mentora\src\pages\res\Contact.jsx                    | JavaScript JSX |        172 |          4 |         13 |        189 |
| d:\Mentora\mentora\src\pages\res\FAQ.jsx                        | JavaScript JSX |        101 |          2 |          8 |        111 |
| d:\Mentora\mentora\src\pages\res\Privacy.jsx                    | JavaScript JSX |        155 |          2 |          9 |        166 |
| d:\Mentora\mentora\src\pages\res\TermsPage.jsx                  | JavaScript JSX |        141 |          2 |         10 |        153 |
| d:\Mentora\mentora\src\pages\student\MyCourses.jsx              | JavaScript JSX |        204 |          3 |          8 |        215 |
| d:\Mentora\mentora\src\pages\student\MyLives.jsx                | JavaScript JSX |        172 |          1 |          7 |        180 |
| d:\Mentora\mentora\src\pages\student\Profile.jsx                | JavaScript JSX |        210 |          1 |          7 |        218 |
| d:\Mentora\mentora\src\pages\student\Settings.jsx               | JavaScript JSX |        307 |          2 |         10 |        319 |
| d:\Mentora\mentora\vite.config.js                               | JavaScript     |          6 |          1 |          3 |         10 |
| Total                                                           |                |     13,598 |        191 |        628 |     14,417 |
+-----------------------------------------------------------------+----------------+------------+------------+------------+------------+
